Estudiante,Edad,Sexo,Carrera,Nota_Final,Horas_Estudio,Asistencias
Alumno_01,22,M,Ingenieria de Sistemas,85,120,95
Alumno_02,20,F,Informatica,92,150,100
Alumno_03,23,M,Ingenieria Civil,78,90,85
Alumno_04,21,F,Informatica,65,60,70
Alumno_05,24,M,Ingenieria de Sistemas,95,160,98
Alumno_06,19,F,Administracion,72,80,88
Alumno_07,22,M,Informatica,88,130,92
Alumno_08,20,F,Ingenieria Civil,55,40,60
Alumno_09,25,M,Ingenieria de Sistemas,91,145,96
Alumno_10,21,F,Administracion,80,110,90
Alumno_11,23,M,Informatica,73,85,82
Alumno_12,20,F,Ingenieria Civil,68,70,78
Alumno_13,22,M,Administracion,76,95,86
Alumno_14,24,F,Ingenieria de Sistemas,89,140,94
Alumno_15,19,M,Informatica,82,115,91
Alumno_16,21,F,Ingenieria Civil,60,50,65
Alumno_17,23,M,Informatica,94,155,99
Alumno_18,20,F,Administracion,70,75,80
Alumno_19,25,M,Ingenieria de Sistemas,87,125,93
Alumno_20,22,F,Informatica,79,100,87
Alumno_21,21,M,Ingenieria Civil,84,118,89
Alumno_22,24,F,Administracion,77,105,84
Alumno_23,19,M,Informatica,90,135,97
Alumno_24,22,F,Ingenieria de Sistemas,86,128,92
Alumno_25,20,M,Ingenieria Civil,71,78,81
Alumno_26,23,F,Informatica,93,148,98
Alumno_27,21,M,Administracion,69,72,76
Alumno_28,24,F,Ingenieria de Sistemas,83,122,90
Alumno_29,19,M,Informatica,75,92,84
Alumno_30,22,F,Ingenieria Civil,67,65,72
Alumno_31,25,M,Administracion,81,108,88
Alumno_32,20,F,Informatica,96,165,100
Alumno_33,23,M,Ingenieria de Sistemas,74,88,83
Alumno_34,21,F,Administracion,66,62,71
Alumno_35,24,M,Informatica,89,132,95
Alumno_36,19,F,Ingenieria Civil,58,45,62
Alumno_37,22,M,Informatica,92,142,97
Alumno_38,20,F,Ingenieria de Sistemas,80,112,88
Alumno_39,25,M,Administracion,73,82,80
Alumno_40,21,F,Informatica,85,125,91
